web-scraper-order,web-scraper-start-url,page_link,page_link-href,name,auction_date
"1660207189-1","https://www.auctiontime.com/listings/farm-equipment/auctions/online/list","OLIVER 66","https://www.equipmentfacts.com/listings/farm-equipment/auctions/215597779/oliver-66?gtmlt=1","Lot # 18 - OLIVER 66","Auction Date:
    
        Today, Aug 11, 2022"
"1660207194-2","https://www.auctiontime.com/listings/farm-equipment/auctions/online/list","J&M HT30","https://www.equipmentfacts.com/listings/farm-equipment/auctions/215597769/jm-ht30?gtmlt=1","Lot # 16 - J&M HT30","Auction Date:
    
        Today, Aug 11, 2022"
"1660207198-3","https://www.auctiontime.com/listings/farm-equipment/auctions/online/list","JOHN DEERE 893","https://www.equipmentfacts.com/listings/farm-equipment/auctions/215597765/john-deere-893?gtmlt=1","Lot # 17 - JOHN DEERE 893","Auction Date:
    
        Today, Aug 11, 2022"
"1660207223-8","https://www.auctiontime.com/listings/farm-equipment/auctions/online/list","JOHN DEERE 1750","https://www.equipmentfacts.com/listings/farm-equipment/auctions/215597747/john-deere-1750?gtmlt=1","Lot # 7 - JOHN DEERE 1750","Auction Date:
    
        Today, Aug 11, 2022"
"1660207206-5","https://www.auctiontime.com/listings/farm-equipment/auctions/online/list","CASE IH 4800","https://www.equipmentfacts.com/listings/farm-equipment/auctions/215597755/case-ih-4800?gtmlt=1","Lot # 4 - CASE IH 4800","Auction Date:
    
        Today, Aug 11, 2022"
"1660207202-4","https://www.auctiontime.com/listings/farm-equipment/auctions/online/list","JOHN DEERE 1890","https://www.equipmentfacts.com/listings/farm-equipment/auctions/215597763/john-deere-1890?gtmlt=1","Lot # 10 - JOHN DEERE 1890","Auction Date:
    
        Today, Aug 11, 2022"
"1660207211-6","https://www.auctiontime.com/listings/farm-equipment/auctions/online/list","J&M 875-16","https://www.equipmentfacts.com/listings/farm-equipment/auctions/215597751/jm-875-16?gtmlt=1","Lot # 13 - J&M 875-16","Auction Date:
    
        Today, Aug 11, 2022"
"1660207218-7","https://www.auctiontime.com/listings/farm-equipment/auctions/online/list","SUMMERS MFG SUPERCOULTER PLUS","https://www.equipmentfacts.com/listings/farm-equipment/auctions/215597749/summers-mfg-supercoulter-plus?gtmlt=1","Lot # 8 - SUMMERS MFG SUPERCOULTER PLUS","Auction Date:
    
        Today, Aug 11, 2022"
